id	proposed_path	title
26131d290741a53abc07	ai/01-rag-resources.md	RAG の実践的な資料
80d6b02799857a9324dc	ai/20170802-mnist-nn-visualization.md	MNISTを認識するニューラルネットワークの画像化
e275c4443a9338c8fda5	ai/20221205-chatgpt-quaternions.md	ChatGPTは四元数を知っている
bea04b48a66c22b83450	ai/20230219-github-copilot.md	Github Copilot で四則演算器を作ってみる
b4da43f342f0fe3c189c	ai/20230405-diffusers-cpu.md	CPU で動かす diffusers 入門
9e692d2aa4883154888c	ai/20230415-amazon-codewhisperer.md	Amazon CodeWhisperer で四則演算器を作ってみる
b2d37b00132c23858a50	ai/20230622-amd-gpu-stable-diffusion.md	AMD GPU での Stable Diffusion の改善
3de830afa69add8a705c	ai/20231109-bard-link-expiration.md	Bard の公開リンクの期限
4c71bb7b3b6f9af7bdc6	ai/20231109-bard-log-length.md	Bard でログの長さに注意
7f9c8ea1a4e380c02af1	ai/20231119-ai-log-helper.md	AI ログの取得補助
2ddab6e8803cd37661b1	ai/20231218-gemini-translation.md	Gemini 1.0 Pro の翻訳能力を調査
667e1206469b2a1a4e00	ai/20240118-gemini-pro-blocking.md	Gemini 1.0 Pro でのブロックと設定
54e45181052c914a4d45	ai/20240118-gemini-rate-limits.md	Gemini 1.0 Pro プレビュー版の利用制限にまつわるエラーについて
65741fa8ab0a553f51be	ai/20240305-ollama-remote-access.md	別マシンの Ollama へのアクセス
be2ca03a654f4d26ba5f	ai/20240808-ollama-python-stream.md	ollama-python のストリーム機能
ae0da373184b82d53fcc	ai/20240815-ollama-llama-translate.md	Ollama で llama-translate-gguf を動かす
14d24a25aa26dcf97d2d	ai/20240822-gguf-conversion.md	GGUF 変換メモ
c19c22489839e822ef33	ai/20240908-v0-cursor-nextjs.md	v0 + Cursor + Next.js ファーストインプレッション
2e8e3ed2c39e3dc4ee22	ai/20240914-cursor-free-setup.md	Cursor の無料版を使い続ける場合の設定
04962cf58e172da662c1	ai/20240930-notebooklm-to-video.md	NotebookLM で生成した会話に字幕と背景を付けて動画化する
ac3c2b1bea3bb4e9eb70	ai/20241111-gemini-available-models.md	Gemini APIで使えるモデル
a432cb83a28a74131bc7	ai/20241112-bitnet-wsl2.md	WSL2 での BitNet のハマり所
dc037c2d5b0add0da33a	ai/20241112-ollama-radeon.md	Windows/Radeon での Ollama のサポート状況
13d9c884a618feb89a94	ai/20241113-gemini-function-calling.md	Gemini の Function calling を試す
f0942fda82fefcbbdb03	ai/20241113-stable-diffusion-cpp.md	stable-diffusion.cpp と Python バインディング
b17cb8d96ae0328bee7e	ai/20241129-github-issues-notebooklm.md	GitHub の Issues を NotebookLM で調査
e27866ce51c6b9a0f605	ai/20241130-mcp-function-calling.md	Function calling の延長線上で MCP を考察
0e31e10df92656aac207	ai/20241130-sqlite-mcp-encoding.md	Windows で SQLite の MCP サーバーと文字コード
3bf54f47a2d38c70d39b	ai/20241205-mcp-timeout-behavior.md	MCP サーバーで処理に時間が掛かった時の実装言語による挙動の違い
90c745833c7839e38c03	ai/20241210-ruri-embeddings.md	テキスト埋め込みモデル Ruri を使ってみる
24eb2b2b9e6149cb1d54	ai/20241218-falcon3-bitnet.md	Falcon 3 の BitNet 版を試す
9e48ba211092ad690d70	ai/20241221-pdfmathtranslate-ollama.md	PDFMathTranslate と Ollama による PDF のローカル翻訳
d7c4e772f4780c6b99a6	ai/20250103-gemini-ocr.md	Gemini で数式対応 OCR
500fc95ecf80866ba83a	ai/20250109-ollama-llama-vision.md	Ollama で Llama 3.2-Vision のテストと翻訳
d889d06ea5800b56ad05	ai/20250113-gemini-retry.md	Gemini で自動再試行
0b818083792364f34f82	ai/20250117-windsurf-trial.md	Windsurf トライアルの流れ
c0255409aa28c1b2e1a0	ai/20250316-ollama-gemma3-vision.md	Ollama で Gemma 3 による画像認識
6ea02124c5b25df237c2	ai/20250319-ollama-gguf-pull.md	Ollama で GGUF の直接取得に失敗したときの対処方法
d1371b923bba9a78820e	ai/20250322-gemini-image-gacha.md	Gemini の画像生成でガチャ
a056f343ea4ee03285d9	ai/20250409-claude-artifacts-tailwind.md	Claude のアーティファクトで Tailwind CSS のレスポンシブデザインにハマった
5a1add7189c45ae4a254	ai/20250411-google-ai-studio-schema.md	Google AI Studio で配列の中に要素を指定したスキーマを作成
3fb540c72ad4577350c6	ai/20250412-genai-error-handling.md	Google Gen AI SDK 利用時のエラーハンドリングと再試行
7578f1710e76770f1af1	ai/20250414-gemini-youtube.md	Gemini が YouTube 動画をどう扱うかの調査
f7625cc56a57e2d245ea	ai/20250422-roo-code-vs-copilot.md	コード移行作業における GitHub Copilot エージェントに対する Roo Code の優位性
06ed3e922630fcbd7734	ai/20250423-gemini-api-migration.md	Gemini API 移行ガイド
